Date,Open,High,Low,Close,Volume
2017-03-20,17.1,17.2,16.55,17.1,2252963
2017-03-21,17.07,17.32,16.5,16.52,1785613
2017-03-22,16.47,16.53,16.0,16.05,1047949
2017-03-23,16.07,16.25,15.75,15.96,1256039
2017-03-24,15.83,16.08,15.63,15.64,710208
2017-03-27,15.54,15.63,15.33,15.4,797406
2017-03-28,15.33,16.36,15.2,16.35,1844433
2017-03-29,16.22,16.55,16.02,16.49,799260
2017-03-30,16.53,16.54,16.21,16.41,484919
2017-03-31,16.37,16.39,15.83,15.96,692188
2017-04-03,16.07,16.08,15.5,15.66,431162
2017-04-04,15.66,16.1,15.61,16.08,743245
2017-04-05,16.1,16.54,16.08,16.47,967385
2017-04-06,16.46,16.7,16.1,16.7,849401
2017-04-07,16.69,16.81,16.51,16.75,566843
2017-04-10,17.07,17.23,16.61,16.8,1699932
2017-04-11,16.91,17.0,16.1,16.24,1034610
2017-04-12,16.24,16.3,15.82,16.04,527529
2017-04-13,16.0,16.23,15.86,16.15,608142
2017-04-17,16.26,16.3,15.99,16.01,264755
2017-04-18,15.94,16.32,15.91,16.31,438873
2017-04-19,16.26,16.35,16.25,16.29,189998
2017-04-20,16.25,16.3,16.08,16.11,265277
2017-04-21,16.12,16.2,15.95,15.99,191188
2017-04-24,15.9,16.0,15.81,15.92,351750
2017-04-25,15.94,16.38,15.84,16.37,448201
2017-04-26,16.37,16.88,16.3,16.86,581227
2017-04-27,16.73,16.83,16.43,16.75,348727
2017-04-28,16.84,16.84,16.62,16.83,194970
2017-05-01,16.85,17.04,16.39,16.59,446168
2017-05-02,16.55,16.72,16.14,16.15,455511
2017-05-03,16.17,16.5,15.98,16.39,252776
2017-05-04,16.39,17.34,16.26,17.14,886003
2017-05-05,17.15,17.47,17.03,17.29,793592
2017-05-08,17.32,17.37,17.08,17.19,333672
2017-05-09,17.15,17.39,17.07,17.1,233294
2017-05-10,17.1,17.25,16.84,17.2,204763
2017-05-11,17.1,17.35,17.05,17.23,303682
2017-05-12,17.21,17.84,17.14,17.73,547324
2017-05-15,17.85,18.1,17.31,18.0,501151
2017-05-16,18.04,18.72,17.9,18.42,1547580
2017-05-17,18.22,18.29,17.47,17.49,1162322
2017-05-18,17.44,17.75,17.36,17.42,410741
2017-05-19,17.43,17.76,17.37,17.52,340215
2017-05-22,17.58,18.3,17.58,18.11,381841
2017-05-23,18.14,18.71,18.14,18.34,683574
2017-05-24,18.3,18.33,17.86,18.0,418209
2017-05-25,18.09,18.25,17.94,18.03,228909
2017-05-26,18.08,18.27,17.9,18.01,418126
